Category,Subcategory,Software Name,ArcForge ID,ArcForge Key,Gaming,Creator,Developer,Homelab,Secure,Catalog,Priority,Detection Method,Detection Target,Detection Source,Package Status,Winget ID,Chocolatey ID,ArcForge Link,FOSS,Notes,ArcForge Description
AI / Automation,Creator Tools,Buzz,buzz,ARCInstallbuzz,No,Yes,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Buzz,Default inferred detection for desktop app,Winget only,ChidiWilliams.Buzz,N/A,https://github.com/chidiwilliams/buzz,TRUE,"Audio transcription tool useful for creators, documentation, and media workflows.","Audio transcription tool useful for creators, documentation, and media workflows."
AI / Automation,AI Developer Tools,GitHub Copilot CLI,github-copilot-cli,ARCInstallgithub-copilot-cli,No,No,No,No,No,Yes,Optional,Command,gh copilot,Inferred from CLI/runtime tooling,Winget + Chocolatey,GitHub.Copilot,github-copilot-cli,https://github.com/github/copilot-cli,FALSE,Command-line AI assistant for GitHub/developer workflows.,Command-line AI assistant for GitHub/developer workflows.
AI / Automation,AI / Productivity,Microsoft Copilot,microsoft-copilot,ARCInstallmicrosoft-copilot,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Microsoft Copilot,Default inferred detection for desktop app,Winget only,XP9CXNGPPJ97XX,N/A,https://apps.microsoft.com/detail/xp9cxngppj97xx,FALSE,General Microsoft AI assistant for productivity and Windows/M365-style workflows.,General Microsoft AI assistant for productivity and Windows/M365-style workflows.
AI / Automation,AI / Productivity,ChatGPT,chatgpt,ARCInstallchatgpt,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching ChatGPT,Default inferred detection for desktop app,Winget only,9nt1r1c2hh7j,N/A,https://openai.com/chatgpt/desktop/,FALSE,"General-purpose AI assistant useful for troubleshooting, writing, coding, and planning.","General-purpose AI assistant useful for troubleshooting, writing, coding, and planning."
AI / Automation,Local AI / LLM Tools,GPT4All,gpt4all,ARCInstallgpt4all,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching GPT4All,Default inferred detection for desktop app,Winget + Chocolatey,nomic.gpt4all,gpt4all,https://nomic.ai/gpt4all,TRUE,Local AI app for running private/offline model workflows on a workstation.,Local AI app for running private/offline model workflows on a workstation.
AI / Automation,Documents / Productivity,Notion,notion,ARCInstallnotion,No,Yes,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Notion,Default inferred detection for desktop app,Winget + Chocolatey,Notion.Notion,notion,https://www.notion.com/,FALSE,"Notes, documentation, wiki, and project workspace tool.","Notes, documentation, wiki, and project workspace tool."
Backup / Sync,Backup Client,Duplicati,duplicati,ARCInstallduplicati,No,No,No,Yes,Yes,Yes,Recommended,Service / Executable,Windows service and installed app entry for Duplicati,Inferred from service/sync/remote tooling,Winget + Chocolatey,Duplicati.Duplicati,duplicati,https://www.duplicati.com/,TRUE,"Backup tool for encrypted backups to local, network, and cloud destinations.","Backup tool for encrypted backups to local, network, and cloud destinations."
Backup / Sync,Peer-to-Peer Sync,Syncthing,syncthing,ARCInstallsyncthing,No,No,No,Yes,Yes,Yes,Recommended,Executable,syncthing.exe,Inferred from known executable,Winget + Chocolatey,Syncthing.Syncthing,syncthing,https://syncthing.net/,TRUE,"Decentralized file sync between devices; excellent for homelab, privacy, and local-first workflows.","Decentralized file sync between devices; excellent for homelab, privacy, and local-first workflows."
Backup / Sync,Sync Client GUI,SyncTrayzor,synctrayzor,ARCInstallsynctrayzor,No,No,No,No,No,Yes,Optional,Executable,SyncTrayzor.exe,Inferred from known executable,Winget + Chocolatey,GermanCoding.SyncTrayzor,synctrayzor,https://github.com/GermanCoding/SyncTrayzor,TRUE,Windows tray GUI for Syncthing; useful for managing peer-to-peer sync on Windows.,Windows tray GUI for Syncthing; useful for managing peer-to-peer sync on Windows.
Boot / Deployment Tools,OS Imaging,Raspberry Pi Imager,raspberry-pi-imager,ARCInstallraspberry-pi-imager,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Raspberry Pi Imager,Default inferred detection for desktop app,Winget + Chocolatey,RaspberryPiFoundation.RaspberryPiImager,rpi-imager,https://www.raspberrypi.com/software/,TRUE,Tool for writing Raspberry Pi OS and other images to SD cards/USB media; useful for homelab and maker workflows.,Tool for writing Raspberry Pi OS and other images to SD cards/USB media; useful for homelab and maker workflows.
Boot / Deployment Tools,Bootable USB / Imaging,Rufus,rufus,ARCInstallrufus,No,No,No,Yes,Yes,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Rufus,Default inferred detection for desktop app,Winget + Chocolatey,Rufus.Rufus,rufus,https://rufus.ie/,TRUE,"Tool for creating bootable USB installers; essential for OS installs, recovery media, and IT support kits.","Tool for creating bootable USB installers; essential for OS installs, recovery media, and IT support kits."
Boot / Deployment Tools,Boot Configuration,EFI Boot Editor,efi-boot-editor,ARCInstallefi-boot-editor,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching EFI Boot Editor,Default inferred detection for desktop app,Winget only,EFIBootEditor.EFIBootEditor,N/A,https://www.easyuefi.com/,FALSE,"Tool for editing EFI boot entries; useful for advanced troubleshooting, dual-boot systems, and boot configuration repair.","Tool for editing EFI boot entries; useful for advanced troubleshooting, dual-boot systems, and boot configuration repair."
Boot / Deployment Tools,Bootable USB / Imaging,Ventoy,ventoy,ARCInstallventoy,No,No,No,Yes,Yes,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Ventoy,Default inferred detection for desktop app,Winget + Chocolatey,Ventoy.Ventoy,ventoy,https://www.ventoy.net/,TRUE,"Multiboot USB tool for booting ISO files directly; very useful for IT support, OS installs, recovery media, and troubleshooting kits.","Multiboot USB tool for booting ISO files directly; very useful for IT support, OS installs, recovery media, and troubleshooting kits."
Browsers,Privacy / Hardened Browser,Brave,brave,ARCInstallbrave,No,No,No,No,Yes,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Brave,Default inferred detection for desktop app,Winget + Chocolatey,Brave.Brave,brave,https://www.brave.com,TRUE,Chromium-based browser with built-in privacy protections and ad/tracker blocking; good fit for privacy-conscious general use.,Chromium-based browser with built-in privacy protections and ad/tracker blocking; good fit for privacy-conscious general use.
Browsers,Mainstream Browser,Firefox,firefox,ARCInstallfirefox,No,No,Yes,Yes,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Firefox,Default inferred detection for desktop app,Winget + Chocolatey,Mozilla.Firefox,firefox,https://www.mozilla.org/en-US/firefox/new/,TRUE,Mainstream open-source browser; strong general-purpose option for users who want a non-Chromium browser.,Mainstream open-source browser; strong general-purpose option for users who want a non-Chromium browser.
Browsers,Privacy / Hardened Browser,Mullvad Browser,mullvad-browser,ARCInstallmullvad-browser,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Mullvad Browser,Default inferred detection for desktop app,Winget only,MullvadVPN.MullvadBrowser,N/A,https://mullvad.net/browser,TRUE,Privacy-focused browser designed to reduce fingerprinting; useful for secure/privacy-oriented profiles.,Privacy-focused browser designed to reduce fingerprinting; useful for secure/privacy-oriented profiles.
Browsers,Power-User Browser,Vivaldi,vivaldi,ARCInstallvivaldi,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Vivaldi,Default inferred detection for desktop app,Winget + Chocolatey,Vivaldi.Vivaldi,vivaldi,https://vivaldi.com/,FALSE,"Highly customizable Chromium-based browser for power users who want advanced tab, workspace, and UI controls.","Highly customizable Chromium-based browser for power users who want advanced tab, workspace, and UI controls."
Browsers,Mainstream Browser,Chrome,chrome,ARCInstallchrome,Yes,Yes,Yes,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Chrome,Default inferred detection for desktop app,Winget + Chocolatey,Google.Chrome,googlechrome,https://www.google.com/chrome/,FALSE,"Mainstream Chromium-based browser with broad compatibility; common default for web apps, gaming services, and developer testing.","Mainstream Chromium-based browser with broad compatibility; common default for web apps, gaming services, and developer testing."
Browsers,Enterprise / Stable Browser,Firefox ESR,firefox-esr,ARCInstallfirefox-esr,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Firefox ESR,Default inferred detection for desktop app,Winget + Chocolatey,Mozilla.Firefox.ESR,FirefoxESR,https://www.mozilla.org/en-US/firefox/enterprise/,TRUE,Extended Support Release of Firefox; useful for stable enterprise-style environments that prioritize fewer browser changes.,Extended Support Release of Firefox; useful for stable enterprise-style environments that prioritize fewer browser changes.
Browsers,Alternative Browser,PaleMoon,palemoon,ARCInstallpalemoon,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching PaleMoon,Default inferred detection for desktop app,Winget + Chocolatey,MoonchildProductions.PaleMoon,paleMoon,https://www.palemoon.org/download.shtml,TRUE,Legacy-style browser focused on customization and older browser design; niche/optional fit for most users.,Legacy-style browser focused on customization and older browser design; niche/optional fit for most users.
Browsers,Alternative Browser,Waterfox,waterfox,ARCInstallwaterfox,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Waterfox,Default inferred detection for desktop app,Winget + Chocolatey,Waterfox.Waterfox,waterfox,https://www.waterfox.net/,TRUE,Firefox-based alternative browser; useful for users who prefer Firefox lineage with different defaults and customization options.,Firefox-based alternative browser; useful for users who prefer Firefox lineage with different defaults and customization options.
Browsers,Alternative Browser,Chromium,chromium,ARCInstallchromium,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Chromium,Default inferred detection for desktop app,Winget + Chocolatey,Hibbiki.Chromium,chromium,https://github.com/Hibbiki/chromium-win64,TRUE,Open-source browser base for many Chromium-based browsers; useful for testing and users who want a less branded Chromium experience.,Open-source browser base for many Chromium-based browsers; useful for testing and users who want a less branded Chromium experience.
Browsers,Power-User Browser,Floorp,floorp,ARCInstallfloorp,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Floorp,Default inferred detection for desktop app,Winget + Chocolatey,Ablaze.Floorp,floorp,https://floorp.app/,TRUE,Firefox-based power-user browser with added customization and productivity features.,Firefox-based power-user browser with added customization and productivity features.
Browsers,Alternative Browser,Thorium Browser AVX2,thorium-browser-avx2,ARCInstallthorium-browser-avx2,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Thorium Browser AVX2,Default inferred detection for desktop app,Winget + Chocolatey,Alex313031.Thorium.AVX2,thorium,https://thorium.rocks/,TRUE,Performance-focused Chromium fork optimized for newer CPUs; niche option for users prioritizing browser speed.,Performance-focused Chromium fork optimized for newer CPUs; niche option for users prioritizing browser speed.
Browsers,Power-User Browser,Zen Browser,zen-browser,ARCInstallzen-browser,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Zen Browser,Default inferred detection for desktop app,Winget + Chocolatey,Zen-Team.Zen-Browser,zen-browser,https://zen-browser.app/,TRUE,"Modern Firefox-based browser focused on a cleaner, productivity-oriented browsing experience.","Modern Firefox-based browser focused on a cleaner, productivity-oriented browsing experience."
Browsers,Mainstream Browser,Edge,edge,ARCInstalledge,No,No,No,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Edge,Default inferred detection for desktop app,Winget + Chocolatey,Microsoft.Edge,microsoft-edge,https://www.microsoft.com/edge,FALSE,Microsoft’s Chromium-based browser included with Windows; strong compatibility with Microsoft services and enterprise environments.,Microsoft’s Chromium-based browser included with Windows; strong compatibility with Microsoft services and enterprise environments.
Browsers,Alternative Browser,Helium,helium,ARCInstallhelium,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Helium,Default inferred detection for desktop app,Winget + Chocolatey,ImputNet.Helium,helium,https://github.com/imputnet/helium/,TRUE,Chromium-based alternative browser; niche option that may appeal to users wanting a different Chromium-based experience.,Chromium-based alternative browser; niche option that may appeal to users wanting a different Chromium-based experience.
Browsers,Privacy / Hardened Browser,Tor Browser,tor-browser,ARCInstalltor-browser,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Tor Browser,Default inferred detection for desktop app,Winget + Chocolatey,TorProject.TorBrowser,tor-browser,https://www.torproject.org/,TRUE,Privacy/anonymity-focused browser for routing traffic through the Tor network; secure-profile candidate but not a general daily-driver recommendation.,Privacy/anonymity-focused browser for routing traffic through the Tor network; secure-profile candidate but not a general daily-driver recommendation.
Browsers,Lightweight Browser,Falkon,falkon,ARCInstallfalkon,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Falkon,Default inferred detection for desktop app,Winget + Chocolatey,KDE.Falkon,falkon,https://www.falkon.org/,TRUE,Lightweight browser; useful for minimal systems or users who want a smaller browser footprint.,Lightweight browser; useful for minimal systems or users who want a smaller browser footprint.
Browsers,Privacy / Hardened Browser,LibreWolf,librewolf,ARCInstalllibrewolf,No,No,No,No,Yes,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching LibreWolf,Default inferred detection for desktop app,Winget + Chocolatey,LibreWolf.LibreWolf,librewolf,https://librewolf-community.gitlab.io/,TRUE,"Hardened Firefox-based browser focused on privacy, security, and reduced telemetry.","Hardened Firefox-based browser focused on privacy, security, and reduced telemetry."
Browsers,Privacy / Hardened Browser,Ungoogled,ungoogled,ARCInstallungoogled,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Ungoogled,Default inferred detection for desktop app,Winget + Chocolatey,eloston.ungoogled-chromium,ungoogled-chromium,https://github.com/Eloston/ungoogled-chromium,TRUE,Chromium variant with Google integration removed; useful for privacy-focused users who still want Chromium compatibility.,Chromium variant with Google integration removed; useful for privacy-focused users who still want Chromium compatibility.
Cloud Storage / Sync,Cloud Sync Client,Dropbox,dropbox,ARCInstalldropox,No,No,No,No,No,Yes,Optional,Service / Executable,Windows service and installed app entry for Dropbox,Inferred from service/sync/remote tooling,Winget + Chocolatey,Dropbox.Dropbox,dropbox,https://www.dropbox.com/en_GB/desktop,FALSE,"Cloud file sync client; useful for syncing documents, project files, and shared assets.","Cloud file sync client; useful for syncing documents, project files, and shared assets."
Cloud Storage / Sync,Cloud Sync Client,Proton Drive,proton-drive,ARCInstallproton-drive,No,No,No,No,Yes,Yes,Recommended,Service / Executable,Windows service and installed app entry for Proton Drive,Inferred from service/sync/remote tooling,Winget + Chocolatey,Proton.ProtonDrive,protondrive,https://proton.me/drive,TRUE,Privacy-focused cloud storage/sync client from Proton; useful for secure file sync workflows.,Privacy-focused cloud storage/sync client from Proton; useful for secure file sync workflows.
Cloud Storage / Sync,Cloud Sync Client,Nextcloud Desktop,nextcloud-desktop,ARCInstallnextcloud-desktop,No,No,No,Yes,Yes,Yes,Recommended,Service / Executable,Windows service and installed app entry for Nextcloud Desktop,Inferred from service/sync/remote tooling,Winget + Chocolatey,Nextcloud.NextcloudDesktop,nextcloud-client,https://nextcloud.com/install/#install-clients,TRUE,Desktop sync client for self-hosted or hosted Nextcloud storage; strong homelab/cloud-sync fit.,Desktop sync client for self-hosted or hosted Nextcloud storage; strong homelab/cloud-sync fit.
Cloud Storage / Sync,Cloud Sync Client,Google Drive,google-drive,ARCInstallgoogle-drive,No,Yes,No,No,No,Yes,Recommended,Service / Executable,Windows service and installed app entry for Google Drive,Inferred from service/sync/remote tooling,Winget + Chocolatey,Google.GoogleDrive,googledrive,https://www.google.com/drive/,FALSE,"Google cloud storage sync client; useful for documents, assets, and cross-device file access.","Google cloud storage sync client; useful for documents, assets, and cross-device file access."
Cloud Storage / Sync,Cloud Sync Client,ownCloud Desktop,owncloud-desktop,ARCInstallowncloud-desktop,No,No,No,No,No,Yes,Optional,Service / Executable,Windows service and installed app entry for ownCloud Desktop,Inferred from service/sync/remote tooling,Winget + Chocolatey,ownCloud.ownCloudDesktop,owncloud-client,https://owncloud.com/desktop-app/,TRUE,Desktop sync client for ownCloud storage; useful for self-hosted or private cloud workflows.,Desktop sync client for ownCloud storage; useful for self-hosted or private cloud workflows.
Communications,Messaging Aggregator,Beeper,beeper,ARCInstallbeeper,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Beeper,Default inferred detection for desktop app,Winget only,Beeper.Beeper,N/A,https://www.beeper.com/,FALSE,Unified messaging client that brings multiple chat services into one app; useful for users who manage several communication platforms.,Unified messaging client that brings multiple chat services into one app; useful for users who manage several communication platforms.
Communications,Messaging Aggregator,Ferdium,ferdium,ARCInstallferdium,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Ferdium,Default inferred detection for desktop app,Winget + Chocolatey,Ferdium.Ferdium,ferdium,https://ferdium.org/,TRUE,"Multi-service workspace app for combining chat, email, productivity, and web apps into one desktop interface.","Multi-service workspace app for combining chat, email, productivity, and web apps into one desktop interface."
Communications,Email Client,Proton Mail,proton-mail,ARCInstallproton-mail,No,No,No,No,Yes,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Proton Mail,Default inferred detection for desktop app,Winget + Chocolatey,Proton.ProtonMail,protonmail,https://proton.me/mail,TRUE,Privacy-focused email service/client; good fit for secure or privacy-conscious workstation profiles.,Privacy-focused email service/client; good fit for secure or privacy-conscious workstation profiles.
Communications,Team Collaboration,Slack,slack,ARCInstallslack,No,Yes,Yes,No,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Slack,Default inferred detection for desktop app,Winget + Chocolatey,SlackTechnologies.Slack,slack,https://slack.com/,FALSE,"Workplace team chat and collaboration platform; common in developer, IT, startup, and studio environments.","Workplace team chat and collaboration platform; common in developer, IT, startup, and studio environments."
Communications,Gaming / Community Chat,Vesktop,vesktop,ARCInstallvesktop,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Vesktop,Default inferred detection for desktop app,Winget only,Vencord.Vesktop,N/A,https://github.com/Vencord/Vesktop,TRUE,Alternative Discord desktop client with extra customization; useful for Discord-heavy users but should be treated as optional/niche.,Alternative Discord desktop client with extra customization; useful for Discord-heavy users but should be treated as optional/niche.
Communications,Email Client,Betterbird,betterbird,ARCInstallbetterbird,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Betterbird,Default inferred detection for desktop app,Winget + Chocolatey,Betterbird.Betterbird,betterbird,https://www.betterbird.eu/,TRUE,Thunderbird-based email client with additional features and refinements; useful for users who prefer local desktop mail.,Thunderbird-based email client with additional features and refinements; useful for users who prefer local desktop mail.
Communications,IRC / Open Chat,Hexchat,hexchat,ARCInstallhexchat,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Hexchat,Default inferred detection for desktop app,Winget + Chocolatey,HexChat.HexChat,hexchat,https://hexchat.github.io/,TRUE,"IRC client for open chat networks; niche but useful for some developer, Linux, security, and open-source communities.","IRC client for open chat networks; niche but useful for some developer, Linux, security, and open-source communities."
Communications,Privacy / Secure Messaging,QTox,qtox,ARCInstallqtox,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching QTox,Default inferred detection for desktop app,Winget + Chocolatey,Tox.qTox,qtox,https://qtox.github.io/,TRUE,Peer-to-peer encrypted messaging client; privacy-focused but niche compared to Signal or Element.,Peer-to-peer encrypted messaging client; privacy-focused but niche compared to Signal or Element.
Communications,Team Collaboration,Teams,teams,ARCInstallteams,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Teams,Default inferred detection for desktop app,Winget + Chocolatey,Microsoft.Teams,microsoft-teams,https://www.microsoft.com/en-us/microsoft-teams/group-chat-software,FALSE,"Microsoft workplace chat, meetings, and collaboration client; common in business, enterprise, and Microsoft 365 environments.","Microsoft workplace chat, meetings, and collaboration client; common in business, enterprise, and Microsoft 365 environments."
Communications,Messaging / Calling,Viber,viber,ARCInstallviber,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Viber,Default inferred detection for desktop app,Winget + Chocolatey,Rakuten.Viber,viber,https://www.viber.com/,FALSE,Consumer messaging and calling app; useful for users who rely on Viber communities or international contacts.,Consumer messaging and calling app; useful for users who rely on Viber communities or international contacts.
Communications,Gaming / Community Chat,Chatterino,chatterino,ARCInstallchatterino,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Chatterino,Default inferred detection for desktop app,Winget + Chocolatey,ChatterinoTeam.Chatterino,chatterino,https://www.chatterino.com/,TRUE,"Twitch chat client built for streamers, moderators, and viewers; useful for creator and streaming-focused profiles.","Twitch chat client built for streamers, moderators, and viewers; useful for creator and streaming-focused profiles."
Communications,Privacy / Secure Messaging,Jami,jami,ARCInstalljami,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Jami,Default inferred detection for desktop app,Winget + Chocolatey,SFLinux.Jami,jami,https://jami.net/,TRUE,"Distributed communication app with messaging, calling, and privacy-focused design; niche secure communications option.","Distributed communication app with messaging, calling, and privacy-focused design; niche secure communications option."
Communications,Gaming / Community Chat,Revolt,revolt,ARCInstallrevolt,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Revolt,Default inferred detection for desktop app,Winget only,Revolt.RevoltDesktop,N/A,https://revolt.chat/,TRUE,Open-source Discord-style community chat platform; useful for gaming/community profiles but optional compared to Discord.,Open-source Discord-style community chat platform; useful for gaming/community profiles but optional compared to Discord.
Communications,Messaging / Calling,Telegram,telegram,ARCInstalltelegram,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Telegram,Default inferred detection for desktop app,Winget + Chocolatey,Telegram.TelegramDesktop,telegram,https://telegram.org/,TRUE,"General messaging app with large communities, channels, and file sharing; useful for homelab, creator, and community-driven workflows.","General messaging app with large communities, channels, and file sharing; useful for homelab, creator, and community-driven workflows."
Communications,Video Conferencing,Zoom,zoom,ARCInstallzoom,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Zoom,Default inferred detection for desktop app,Winget + Chocolatey,Zoom.Zoom,zoom,https://zoom.us/,FALSE,"Video conferencing client widely used for meetings, interviews, support sessions, and remote collaboration.","Video conferencing client widely used for meetings, interviews, support sessions, and remote collaboration."
Communications,Gaming / Community Chat,Discord,discord,ARCInstalldiscord,Yes,Yes,Yes,Yes,No,Yes,Recommended,Registry / Executable,Installed Programs registry; executable matching Discord,Default inferred detection for desktop app,Winget + Chocolatey,Discord.Discord,discord,https://discord.com/,FALSE,"Voice, video, and community chat platform heavily used by gamers, creators, developers, and gaming communities.","Voice, video, and community chat platform heavily used by gamers, creators, developers, and gaming communities."
Communications,VoIP / Softphone,Linphone,linphone,ARCInstalllinphone,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Linphone,Default inferred detection for desktop app,Winget + Chocolatey,BelledonneCommunications.Linphone,linphone,https://www.linphone.org/,TRUE,"SIP softphone for VoIP calling; useful for IT, telecom, lab, or support workflows involving SIP/voice testing.","SIP softphone for VoIP calling; useful for IT, telecom, lab, or support workflows involving SIP/voice testing."
Communications,Privacy / Secure Messaging,Session,session,ARCInstallsession,No,No,No,No,No,Yes,Niche,Registry / Executable,Installed Programs registry; executable matching Session,Default inferred detection for desktop app,Winget + Chocolatey,Session.Session,session,https://getsession.org/,TRUE,Privacy-focused messenger designed to reduce metadata exposure; secure-profile candidate but niche for general users.,Privacy-focused messenger designed to reduce metadata exposure; secure-profile candidate but niche for general users.
Communications,Email Client,Thunderbird,thunderbird,ARCInstallthunderbird,No,No,No,No,No,Yes,Optional,Registry / Executable,Installed Programs registry; executable matching Thunderbird,Default inferred detection for desktop app,Winget + Chocolatey,Mozilla.Thunderbird,thunderbird,https://www.thunderbird.net/,TRUE,Open-source email and calendar client; solid general-purpose desktop mail option for users who want local email management.,Open-source email and calendar client; solid general-purpose desktop mail option for users who want local email management.
